id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"BK1-01-01","P0","1. Backend Foundation","backend-foundation","创建独立 FastAPI 后端项目","Create a separate backend/ FastAPI project with isolated dependency metadata, application entrypoint, CORS settings, health check, and local environment example. Include uv-managed dependencies and keep frontend/backend separated.","Backend service can start locally and expose a health check; frontend real API mode has a documented backend base URL target.","N/A","Confirm backend/ is separate from src/ and has app entrypoint, dependency metadata, CORS, health check, and env example.","Confirm existing frontend mock mode and npm build are not broken by backend scaffold.","已完成","已完成","已完成","已提交","codex","backend/; README.md; docs/03-frontend-architecture-api-plan.md; openspec/changes/add-fastapi-backend/tasks.md","specs:backend-api Scenario Frontend build remains valid; validation:uv run python import app health route passed"
"BK1-01-02","P0","1. Backend Foundation","backend-config","补齐后端配置项","Add backend configuration for database URL, AI provider credentials, request timeouts, frontend CORS origin, and deterministic test mode.","Config defaults to local SQLite and explicit AI provider settings; missing real AI credentials fail in controlled service responses outside test mode.","N/A","Review config module and env example for DATABASE_URL, AI provider/model/key, timeout, CORS origin, and test mode.","Confirm config does not require credentials for automated tests or frontend mock builds.","已完成","已完成","已完成","已提交","codex","backend/; openspec/changes/add-fastapi-backend/design.md","specs:workout-persistence SQLite/Postgres; ai scan unavailable controlled response; validation:settings loaded database/ai/cors/test mode and controlled missing key error"
"BK2-02-01","P0","2. Persistence And Seed Data","database","实现 SQL 模型和迁移","Implement SQLAlchemy-compatible database models, session management, and migrations for users, equipment, exercises, workout plans, workout-plan exercises, workout sessions, and set records.","Database can be initialized locally with SQLite and models cover all MVP entities; DATABASE_URL can target Postgres-compatible URLs through the same data layer.","N/A","Review SQL models, DB session, migration files, and init command.","Run backend tests that create an isolated test database.","已完成","已完成","已完成","已提交","codex","backend/; openspec/changes/add-fastapi-backend/specs/workout-persistence/spec.md","specs:Backend supports SQLite and Postgres-compatible configuration; validation:uv run alembic upgrade head passed after clean SQLite DB; metadata tables inspected"
"BK2-02-02","P0","2. Persistence And Seed Data","seed-data","补齐后端种子数据","Add backend-owned seed data matching the current frontend mock catalog and stable IDs such as user_local_001 and plan_beginner_day_1.","After setup, profile, equipment catalog, exercise catalog, and default beginner workout plan exist with frontend-compatible stable IDs.","N/A","Compare seeded IDs and required fields against frontend TypeScript types and mock catalog.","GET /api/user/profile and GET /api/workout/today return seeded data in tests.","已完成","已完成","已完成","已提交","codex","backend/; src/types; docs/03-frontend-architecture-api-plan.md; openspec/changes/add-fastapi-backend/specs/workout-persistence/spec.md","specs:Seeded catalog exists after setup; Seeded IDs remain frontend-compatible; validation:seed command inserted 1 user/6 equipment/6 exercises/1 plan/5 plan exercises/session_local_001"
"BK2-02-03","P0","2. Persistence And Seed Data","repositories","实现 SQL 数据访问服务","Add repository/service functions that read the default profile, today workout, exercise details, plan exercises, and saved set records through the SQL data layer.","Service layer returns profile, today workout, exercise detail, plan changes, and saved set records from the database rather than static route literals.","N/A","Review service functions for query boundaries and persisted reads.","Backend tests verify added exercise and saved records are queryable after commit.","已完成","已完成","已完成","已提交","codex","backend/; openspec/changes/add-fastapi-backend/specs/workout-persistence/spec.md","specs:Added exercise appears in later reads; Saved records are queryable for verification; validation:repository read profile/today, add exercise, save/query records through SQL layer"
"BK3-03-01","P0","3. Contract API Routes","api-schemas","实现 Pydantic 合同模型","Implement Pydantic request and response schemas that mirror the existing frontend TypeScript API contracts.","Schemas include UserProfile, Equipment, Exercise, WorkoutPlan, SetRecord, ScanResult, ParsedWorkoutLog, AddExerciseResponse, and SaveWorkoutLogResponse-compatible fields.","N/A","Review schema definitions against src/types/*.ts and src/types/api.ts.","Backend schema/API tests validate representative JSON payloads.","已完成","已完成","已完成","已提交","codex","backend/; src/types/api.ts; src/types/workout.ts; src/types/equipment.ts; src/types/exercise.ts; src/types/user.ts","specs:Backend exposes frontend API contract; Backend preserves frontend request shapes; validation:pydantic schemas imported and required fields inspected against TS contracts"
"BK3-03-02","P0","3. Contract API Routes","api-read-routes","实现资料、今日训练和动作详情接口","Implement read endpoints for GET /api/user/profile, GET /api/workout/today, and GET /api/exercises/:exerciseId, including controlled 404 responses.","Known resources return frontend-compatible JSON; unknown exercise returns 404 with a controlled error body.","N/A","Call read endpoints with test client and inspect response shape/status.","Frontend npm build remains valid.","已完成","已完成","已完成","已提交","codex","backend/; src/services/endpoints.ts; openspec/changes/add-fastapi-backend/specs/backend-api/spec.md","specs:User profile is available; Today workout is available; Exercise detail is available; Unknown exercise is rejected; validation:TestClient GET profile/today/exercise 200 and unknown exercise 404 controlled body"
"BK3-03-03","P0","3. Contract API Routes","api-mutation-routes","实现加入训练和保存记录接口","Implement workout mutation endpoints for POST /api/workout/add-exercise and POST /api/workout/log, ensuring changes persist and later reads reflect them.","Add-exercise returns plan_id, exercise_id, position, message and later today workout includes the exercise; save-log returns success, saved, message and stores records by session/exercise.","N/A","Run API tests for add exercise, reread plan, save log, and DB verification.","Confirm invalid IDs produce controlled errors and do not corrupt plan state.","已完成","已完成","已完成","已提交","codex","backend/; src/services/realApi.ts; openspec/changes/add-fastapi-backend/specs/backend-api/spec.md; openspec/changes/add-fastapi-backend/specs/workout-persistence/spec.md","specs:Exercise is added to today workout; Set records are saved; validation:TestClient add-exercise persisted and save-log returned saved count; invalid exercise controlled 404"
"BK4-04-01","P0","4. Real AI Adapters","ai-scan","实现真实 AI 器械识别适配器","Implement a real AI equipment-recognition adapter that accepts multipart image uploads and JSON image URLs, calls the configured provider, validates output, and normalizes high- and low-confidence scan responses.","Scan accepts FormData and JSON image_url; high confidence returns structured catalog-backed result; confidence below 0.65 returns need_more_photo true without definitive recommendation; malformed/unavailable AI responses are controlled.","N/A","Review adapter prompt/output schema and API tests using stubbed provider responses.","Confirm frontend scan result can render both recognized and low-confidence responses.","已完成","已完成","已完成","已提交","codex","backend/; src/services/realApi.ts; openspec/changes/add-fastapi-backend/specs/ai-equipment-recognition/spec.md","specs:Backend uses real AI for equipment recognition; Backend normalizes AI scan output; validation:TestClient scan JSON and multipart with stub provider, low confidence path, and missing key controlled response passed"
"BK4-04-02","P0","4. Real AI Adapters","ai-log-parse","实现真实 AI 一句话记录解析适配器","Implement a real AI workout-log parsing adapter that calls the configured provider, normalizes parsed set records, requires user confirmation, and emits beginner-safe safety warnings for pain or injury language.","Parse returns exercise_name, exercise_id, sets, need_confirmation true, xiaotie_feedback; every set matches SetRecord contract; pain/injury language returns non-diagnostic safety_warning.","N/A","Review adapter prompt/output schema and API tests for normal, incomplete, unknown exercise, and safety-warning cases.","Confirm save endpoint still requires confirmed records and does not auto-save parsed output.","已完成","已完成","已完成","已提交","codex","backend/; openspec/changes/add-fastapi-backend/specs/ai-workout-log-parse/spec.md","specs:Backend uses real AI for natural-language workout log parsing; Backend emits safety warnings; validation:TestClient parse with stub returns confirmation sets, safety keyword warning, and missing key controlled empty parse"
